TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,94021,94021,1,Gil Island State Nature Sanctuary,Gil Island State Nature Sanctuary,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,2,0,1.5272416260179,4,1.5272416260179,Not Reported,0,Designated,1964,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,94012,94012,1,Bandovan State Nature Sanctuary,Bandovan State Nature Sanctuary,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,0,0,0,49.3,47.4304372201744,Not Applicable,0,Designated,1961,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,AZ-BA,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549393,555549393,1,Garagol State Nature Reserve,Garagol State Nature Reserve,State Nature Reserve,State Nature Reserve,National,Ia,Not Applicable,0,0,0,49.8203144707,49.8203144071961,Not Applicable,0,Designated,0,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549394,555549394,1,Goygol National Park,Goygol National Park,National Park,National Park,National,II,Not Applicable,0,0,0,127.55,133.063826185278,Not Applicable,0,Designated,2008,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549395,555549395,1,Rvarud State Nature Sanctuary,Rvarud State Nature Sanctuary,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,0,0,0,5.1,4.64022681941239,Not Applicable,0,Designated,2009,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,94019,94019,1,Lesser Gizilaghaj State Nature Sanctuary,Lesser Gizilaghaj State Nature Sanctuary,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,0,0,0.304065137808747,3.0911,140.908942861122,Not Applicable,0,Designated,1978,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,AZ-MAS,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549396,555549396,1,Korchay State Nature Reserve,Korchay State Nature Reserve,State Nature Reserve,State Nature Reserve,National,Ia,Not Applicable,0,0,0,48.336,29.4729847058317,Not Applicable,0,Designated,2008,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549397,555549397,1,Arpachay State Nature Sanctuary,Arpachay State Nature Sanctuary,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,0,0,0,689.11,662.762745187008,Not Applicable,0,Designated,2009,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549398,555549398,1,Zangazur National Park,Zangazur National Park,National Park,National Park,National,II,Not Applicable,0,0,0,427.974,488.608867402426,Not Applicable,0,Designated,2003,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549400,555549400,1,Shahdagh National Park,Shahdagh National Park,National Park,National Park,National,II,Not Applicable,0,0,0,1305.081,1203.43720312244,Not Applicable,0,Designated,2006,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549401,555549401,1,Zagatala State Nature Sanctuary,Zagatala State Nature Sanctuary,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,0,0,0,65.57,70.7807685874593,Not Applicable,0,Designated,2008,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555549403,555549403,1,Hirkan State Nature Reserve,Hirkan State Nature Reserve,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,0,0,0,15.53,23.2095290821759,Not Applicable,0,Designated,2005,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,101833,101833,1,Qizilja State Nature Sanctuary,Qizilja State Nature Sanctuary,State Nature Sanctuary,State Nature Sanctuary,National,IV,Not Applicable,0,0,0,51.35,137.350970352074,Not Applicable,0,Designated,1984,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
Polygon,555651680,555651680,1,National Gizilaghaj Park,National Gizilaghaj Park ,National Park,National Park,National,Ia,Not Applicable,0,0,29.8166833098114,990.6,500.410263960472,Not Applicable,0,Designated,2018,Not Reported,Not Reported,Ministry of Ecology and Natural Resources of Azerbaijan,Not Reported,State Verified,1825,Not Reported,AZE,AZE,Not Applicable,Not Applicable
